id;is_fake;diagonal;height_left;height_right;margin_low;margin_up;length
1;0;171.81;104.86;104.95;4.52;2.89;112.83
2;0;171.46;103.36;103.66;3.77;2.99;113.09
3;0;172.69;104.48;103.5;4.4;2.94;113.16
4;0;171.36;103.91;103.94;3.62;3.01;113.51
5;0;171.73;104.28;103.46;4.04;3.48;112.54
6;0;172.17;103.74;104.08;4.42;2.95;112.81
7;0;172.34;104.18;103.85;4.58;3.26;112.81
8;0;171.88;103.76;104.08;3.98;2.92;113.08
9;0;172.47;103.92;103.67;4.0;3.25;112.85
10;0;172.47;104.07;104.02;4.04;3.25;113.45
11;0;171.83;104.14;103.62;3.16;3.18;113.22
12;0;171.84;104.59;104.0;3.88;3.27;113.08
13;0;171.89;103.89;103.4;4.11;2.96;113.24
14;0;172.2;104.35;103.67;4.44;3.38;113.65
15;0;172.06;103.87;103.83;4.09;2.92;113.19
16;0;171.73;103.92;103.74;4.43;2.78;112.98
17;0;171.3;104.19;103.7;4.12;2.82;112.87
18;0;171.88;104.47;103.45;4.56;3.33;113.01
19;0;172.47;103.89;104.14;3.74;3.28;113.47
20;0;171.9;103.67;103.15;4.55;3.15;113.12
21;0;171.87;103.91;103.96;3.74;2.97;113.59
22;0;171.82;103.65;103.64;4.25;2.8;112.57
23;0;172.1;103.96;103.71;3.93;2.89;112.68
24;0;172.56;103.85;103.62;3.32;3.13;113.37
25;0;172.22;103.75;103.89;4.18;3.19;113.34
26;0;172.09;103.63;103.33;4.32;2.88;113.46
27;0;171.83;103.44;103.7;4.15;3.1;113.47
28;0;171.88;103.92;103.74;4.02;3.17;113.76
29;0;172.02;104.18;104.16;3.97;3.23;113.64
30;0;171.58;103.59;103.79;4.1;2.92;113.56
31;0;171.71;103.95;103.97;4.0;2.83;113.55
32;0;171.98;104.33;103.61;3.68;3.14;113.41
33;0;171.99;103.79;103.9;4.62;2.9;112.92
34;0;171.85;104.1;103.88;4.13;2.93;112.93
35;0;172.29;103.61;104.44;4.54;2.69;113.48
36;0;172.01;103.81;103.65;4.36;3.03;113.26
37;0;171.8;104.28;104.06;4.47;3.29;113.93
38;0;171.73;104.1;104.19;3.39;3.19;112.79
39;0;172.0;103.76;104.27;4.42;3.29;112.67
40;0;172.28;104.11;104.19;3.93;3.08;113.51
41;0;172.44;103.96;104.55;3.73;2.86;113.16
42;0;172.08;104.19;103.82;3.99;3.21;113.2
43;0;172.1;103.73;103.33;3.72;3.02;113.5
44;0;172.4;103.41;103.85;4.01;3.15;113.45
45;0;171.79;103.83;103.76;3.99;3.18;112.9
46;0;171.42;104.65;103.63;3.99;3.05;113.08
47;0;171.47;103.74;104.42;4.19;2.92;113.53
48;0;172.13;104.15;103.93;3.97;2.87;113.31
49;0;172.07;104.05;103.82;3.71;3.61;113.05
50;0;171.82;103.82;103.61;4.42;2.9;113.02
51;0;171.95;104.02;103.82;4.28;3.0;113.28
52;0;172.03;103.59;104.09;4.49;2.85;113.44
53;0;171.64;104.18;103.78;3.49;3.74;113.94
54;0;171.71;103.99;103.47;4.49;3.04;113.07
55;0;172.02;103.58;103.8;3.95;3.46;112.4
56;0;171.56;103.42;103.64;3.77;3.04;113.3
57;0;171.25;104.23;103.93;4.36;2.68;113.5
58;0;171.66;103.75;104.07;4.01;2.98;113.47
59;0;171.88;104.12;103.86;4.07;3.41;113.5
60;0;171.88;103.91;103.88;4.05;3.16;113.24
61;0;172.24;104.03;103.86;3.71;3.01;113.03
62;0;171.9;103.46;104.22;3.99;3.0;113.08
63;0;171.42;103.82;103.84;4.01;2.96;113.16
64;0;171.98;103.92;103.57;4.14;2.75;113.13
65;0;171.79;103.91;103.94;3.44;2.96;113.39
66;0;172.08;104.49;103.96;4.38;3.14;113.42
67;0;172.41;104.1;104.27;3.8;3.31;112.68
68;0;172.33;103.97;103.66;3.97;3.07;112.97
69;0;171.6;103.55;103.74;3.79;2.86;112.82
70;0;171.98;104.16;103.76;4.08;2.94;113.08
71;0;171.81;103.84;103.66;4.35;2.93;112.97
72;0;171.84;103.59;103.98;4.09;3.05;113.09
74;0;171.35;103.58;103.59;4.08;2.85;114.09
75;0;172.49;103.69;103.79;3.81;2.77;113.09
76;0;172.26;103.85;103.7;4.16;3.2;112.35
